symbol,name,ml_score_raw,ml_score,sector,water_vulnerability,w_stress_weighted,pct_ops_high_stress
PAVM,PAVmed Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PATK,Patrick Industries Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
PATH,UiPath Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
PAAS,Pan American Silver Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
PAA,Plains All American Pipeline LP,0.6499777208869664,50.0,,0.3,2.5,0.0
OZON,Ozon Holdings PLC,0.6499777208869664,50.0,,0.3,2.5,0.0
OZKAP,Bank OZK,0.6499777208869664,50.0,,0.3,2.5,0.0
OUSTZ,Ouster Inc - Warrants (31/08/2027),0.6499777208869664,50.0,,0.3,2.5,0.0
OUSTW,Ouster Inc Warrants,0.6499777208869664,50.0,,0.3,2.5,0.0
OUST-WS-A,Ouster Inc Warrants to purchase Common Stock,0.6499777208869664,50.0,,0.3,2.5,0.0
OUST-WS,Ouster Inc Warrants,0.6499777208869664,50.0,,0.3,2.5,0.0
OUST,Ouster Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OTTR,Otter Tail Corporation,0.6499777208869664,50.0,,0.3,2.5,0.0
OTMOW,Otonomo Technologies Ltd - Warrants (13/08/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
OTMO,Otonomo Technologies Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OTLY,Oatly Group AB,0.6499777208869664,50.0,,0.3,2.5,0.0
OTLK,Outlook Therapeutics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OTIS,Otis Worldwide Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OTGAW,OTG Acquisition Corp I - Warrants (05/09/2030),0.6499777208869664,50.0,,0.3,2.5,0.0
OTGAU,OTG Acquisition Corp I - Units (1 Ord Cls A & 1/2 War),0.6499777208869664,50.0,,0.3,2.5,0.0
OTGA,OTG Acquisition Corp I - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OTF,Blue Owl Technology Finance Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OTEX,Open Text Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OSW,OneSpaWorld Holdings Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OSUR,Orasure Technologies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OSTX,OS Therapies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OST,Ostin Technology Group Co Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OSS,One Stop Systems Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OSRHW,Bellevue Life Sciences Acquisition Corp - Warrants (09/02/2028),0.6499777208869664,50.0,,0.3,2.5,0.0
OSRH,Bellevue Life Sciences Acquisition Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OSPN,OneSpan Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OSK,Oshkosh Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OSIS,OSI Systems Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OSG,Overseas Shipholding Group Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OUT,Outfront Media Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OVBC,Ohio Valley Banc Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OVID,Ovid Therapeutics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCZ,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OZK,Bank OZK,0.6499777208869664,50.0,,0.3,2.5,0.0
OZ,Belpointe REIT Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OYSEU,Oyster Enterprises II Acquisition Corp - Units (1 Ord Cls A & 1 Rts),0.6499777208869664,50.0,,0.3,2.5,0.0
OYSER,Oyster Enterprises II Acquisition Corp Rights,0.6499777208869664,50.0,,0.3,2.5,0.0
